table,project,link,sponsors
1,QUACK,https://hack-cewit-2019.devpost.com/submissions/112345-quack,"MLH - Best IoT Hack Using a Qualcomm Device, Most Health-Conscious: Tech for Healthcare's Sake"
2,Roombalistics,https://hack-cewit-2019.devpost.com/submissions/112478-roombalistics,"Viacom - Best Multimedia Hack, Machine Learning: A.I. Most Likely to Take Over The World, MLH - Best use of Google Cloud Platform, MLH - Best Domain Name from Domain.com"
3,Effortless,https://hack-cewit-2019.devpost.com/submissions/112677-effortless,"Most Health-Conscious: Tech for Healthcare's Sake, Softheon's Pick: Best Use of Softheon Workshops"
4,HoneyPot,https://hack-cewit-2019.devpost.com/submissions/112332-honeypot,"Most Health-Conscious: Tech for Healthcare's Sake, MLH - Best Domain Name from Domain.com"
5,Rail Analytics,https://hack-cewit-2019.devpost.com/submissions/112641-rail-analytics,Machine Learning: A.I. Most Likely to Take Over The World
6,WiTT - What is This Thing?,https://hack-cewit-2019.devpost.com/submissions/112381-witt-what-is-this-thing,"Machine Learning: A.I. Most Likely to Take Over The World, MLH - Best use of Google Cloud Platform"
7,Facing Facts,https://hack-cewit-2019.devpost.com/submissions/112637-facing-facts,Most Health-Conscious: Tech for Healthcare's Sake
8,ShutApp,https://hack-cewit-2019.devpost.com/submissions/112528-shutapp,"Most Health-Conscious: Tech for Healthcare's Sake, MLH - Best use of Google Cloud Platform, MLH - Best Domain Name from Domain.com"
9,SwipeMe♥,https://hack-cewit-2019.devpost.com/submissions/112574-swipeme,Softheon's Pick: Most Significant Use of Softheon APIs
10,SMSBuddy,https://hack-cewit-2019.devpost.com/submissions/112625-smsbuddy,"MLH - Best use of Google Cloud Platform, MLH - Best Domain Name from Domain.com"
11,CampNav,https://hack-cewit-2019.devpost.com/submissions/112654-campnav,"Machine Learning: A.I. Most Likely to Take Over The World, MLH - Best use of Google Cloud Platform"
12,Chuck: the stock bot!,https://hack-cewit-2019.devpost.com/submissions/112349-chuck-the-stock-bot,"Viacom - Best Multimedia Hack, Machine Learning: A.I. Most Likely to Take Over The World, MLH - Best use of Google Cloud Platform"
13,The aMAZEing Race,https://hack-cewit-2019.devpost.com/submissions/112621-the-amazeing-race,"Machine Learning: A.I. Most Likely to Take Over The World, ULC Robotics Pick: Best Use of 3D Visualization/Simulation"
14,The Hash Bringing Slasher ,https://hack-cewit-2019.devpost.com/submissions/112325-the-hash-bringing-slasher,Machine Learning: A.I. Most Likely to Take Over The World
15,Respiratory Disease and Air Quality Alert Generation,https://hack-cewit-2019.devpost.com/submissions/112639-respiratory-disease-and-air-quality-alert-generation,"Machine Learning: A.I. Most Likely to Take Over The World, Most Health-Conscious: Tech for Healthcare's Sake"
16,Osu!Boost,https://hack-cewit-2019.devpost.com/submissions/112229-osu-boost,
17,Detective Clipper,https://hack-cewit-2019.devpost.com/submissions/112626-detective-clipper,MLH - Best Domain Name from Domain.com
18,Eddie - Question Answering Dialog Agent,https://hack-cewit-2019.devpost.com/submissions/112519-eddie-question-answering-dialog-agent,"Viacom - Best Multimedia Hack, Machine Learning: A.I. Most Likely to Take Over The World, Softheon's Pick: Best Use of Softheon Workshops, MLH - Best use of Google Cloud Platform, MLH - Best Domain Name from Domain.com"
19,Down the Hatch,https://hack-cewit-2019.devpost.com/submissions/112612-down-the-hatch,"MLH - Best IoT Hack Using a Qualcomm Device, Viacom - Best Multimedia Hack, Machine Learning: A.I. Most Likely to Take Over The World, Most Health-Conscious: Tech for Healthcare's Sake"
20,TowerDefenseVR,https://hack-cewit-2019.devpost.com/submissions/112618-towerdefensevr,Viacom - Best Multimedia Hack
21,AETO,https://hack-cewit-2019.devpost.com/submissions/112662-aeto,
22,Pill-Pattern,https://hack-cewit-2019.devpost.com/submissions/112367-pill-pattern,Most Health-Conscious: Tech for Healthcare's Sake
